ano,sigla_uf,id_municipio,taxa_motorizacao,nome_municipio,populacao
2013,MS,5002704,536.401666602591,Campo Grande,832352.0
2013,MT,5103403,553.040380464349,Cuiabá,569830.0
2013,PR,4106902,718.774912842235,Curitiba,1848946.0
2013,SC,4205407,644.548131969953,Florianópolis,453285.0
2013,CE,2304400,333.78477830995,Fortaleza,2551806.0
2013,GO,5208707,680.546795113288,Goiânia,1393575.0
2013,PB,2507507,372.23673901095,João Pessoa,769607.0
2013,AP,1600303,264.611577657025,Macapá,437256.0
2013,AL,2704302,247.971121654445,Maceió,996733.0
2013,AM,1302603,270.508133229273,Manaus,1982177.0
2013,RN,2408102,377.759014811553,Natal,853928.0
2013,TO,1721000,506.479155034431,Palmas,257904.0
2013,RS,4314902,514.373054933316,Porto Alegre,1467816.0
2013,RO,1100205,427.066838215888,Porto Velho,484992.0
2013,PE,2611606,355.618866492489,Recife,1599513.0
2013,AC,1200401,369.631068830943,Rio Branco,357194.0
2013,RJ,3304557,366.068769408281,Rio De Janeiro,6429923.0
2013,BA,2927408,257.386910207159,Salvador,2883682.0
2013,MA,2111300,292.126931594558,São Luís,1053922.0
2013,SP,3550308,567.98909952763,São Paulo,11821873.0
2013,PI,2211001,426.806539346663,Teresina,836475.0
2013,ES,3205309,498.463826708167,Vitória,348268.0
2014,SE,2800308,403.749162346136,Aracaju,623766.0
2014,PA,1501402,259.378550630773,Belém,1432844.0
2014,MG,3106200,636.405311851067,Belo Horizonte,2491109.0
2014,RR,1400100,473.794855509686,Boa Vista,314900.0
2014,DF,5300108,532.315209937554,Brasília,2852372.0
2014,MS,5002704,559.947575671316,Campo Grande,843120.0
2014,MT,5103403,583.530270382985,Cuiabá,575480.0
2014,PR,4106902,746.85477919091,Curitiba,1864416.0
2014,SC,4205407,657.148923999619,Florianópolis,461524.0
2014,CE,2304400,352.172094050459,Fortaleza,2571896.0
2014,GO,5208707,695.649280213883,Goiânia,1412364.0
2014,PB,2507507,389.487894786727,João Pessoa,780738.0
2014,AP,1600303,277.728160946555,Macapá,446757.0
2014,AL,2704302,261.724885334904,Maceió,1005319.0
2014,AM,1302603,285.174337883315,Manaus,2020301.0
2014,RN,2408102,392.701532636385,Natal,862044.0
2014,TO,1721000,531.530581103128,Palmas,265409.0
2014,RS,4314902,531.67576921144,Porto Alegre,1472482.0
2014,RO,1100205,444.95792620842,Porto Velho,494013.0
2014,PE,2611606,368.667966438046,Recife,1608488.0
2014,AC,1200401,388.090501417863,Rio Branco,363928.0
2014,RJ,3304557,383.013603707155,Rio De Janeiro,6453682.0
2014,BA,2927408,266.768334167549,Salvador,2902927.0
2014,MA,2111300,306.610524179264,São Luís,1064197.0
2014,SP,3550308,589.702933609104,São Paulo,11895893.0
2014,PI,2211001,457.505353319058,Teresina,840600.0
2014,ES,3205309,508.957580714789,Vitória,352104.0
