ano,sigla_uf,id_municipio,emissao_co2,emissao_mp,nome_municipio,populacao
2011,BA,2927408,562,90,Salvador,2693606.0
2011,MA,2111300,1370,305,São Luís,1027430.0
2011,SP,3550308,819,122,São Paulo,11316119.0
2011,PI,2211001,840,142,Teresina,822364.0
2011,ES,3205309,774,77,Vitória,330526.0
2012,SE,2800308,897,108,Aracaju,587701.0
2012,PA,1501402,588,86,Belém,1410430.0
2012,MG,3106200,946,88,Belo Horizonte,2395785.0
2012,RR,1400100,968,133,Boa Vista,296959.0
2012,DF,5300108,1152,121,Brasília,2648532.0
2012,MS,5002704,1793,331,Campo Grande,805397.0
2012,MT,5103403,1716,357,Cuiabá,561329.0
2012,PR,4106902,1338,174,Curitiba,1776761.0
2012,SC,4205407,1056,79,Florianópolis,433158.0
2012,CE,2304400,695,95,Fortaleza,2500194.0
2012,GO,5208707,1146,161,Goiânia,1333767.0
2012,PB,2507507,781,99,João Pessoa,742478.0
2012,AP,1600303,699,79,Macapá,415554.0
2012,AL,2704302,625,89,Maceió,953393.0
2012,AM,1302603,1619,330,Manaus,1861838.0
2012,RN,2408102,715,83,Natal,817590.0
2012,TO,1721000,1083,148,Palmas,242070.0
2012,RS,4314902,985,103,Porto Alegre,1416714.0
2012,RO,1100205,1999,399,Porto Velho,442701.0
2012,PE,2611606,770,101,Recife,1555039.0
2012,AC,1200401,1333,260,Rio Branco,348354.0
2012,RJ,3304557,701,112,Rio De Janeiro,6390290.0
2012,BA,2927408,597,82,Salvador,2710968.0
2012,MA,2111300,1522,307,São Luís,1039610.0
2012,SP,3550308,875,117,São Paulo,11376685.0
2012,PI,2211001,972,144,Teresina,830231.0
2012,ES,3205309,1048,88,Vitória,333162.0
2013,SE,2800308,814,85,Aracaju,614577.0
2013,PA,1501402,570,74,Belém,1425922.0
2013,MG,3106200,916,82,Belo Horizonte,2479165.0
2013,RR,1400100,1182,174,Boa Vista,308996.0
2013,DF,5300108,1107,109,Brasília,2789761.0
2013,MS,5002704,1783,307,Campo Grande,832352.0
2013,MT,5103403,1808,359,Cuiabá,569830.0
2013,PR,4106902,1256,157,Curitiba,1848946.0
2013,SC,4205407,1027,69,Florianópolis,453285.0
2013,CE,2304400,689,85,Fortaleza,2551806.0
2013,GO,5208707,1202,168,Goiânia,1393575.0
2013,PB,2507507,750,87,João Pessoa,769607.0
2013,AP,1600303,659,68,Macapá,437256.0
2013,AL,2704302,619,79,Maceió,996733.0
2013,AM,1302603,1466,269,Manaus,1982177.0
2013,RN,2408102,726,81,Natal,853928.0
2013,TO,1721000,1085,142,Palmas,257904.0
2013,RS,4314902,943,92,Porto Alegre,1467816.0
2013,RO,1100205,1632,288,Porto Velho,484992.0
2013,PE,2611606,756,88,Recife,1599513.0
2013,AC,1200401,868,122,Rio Branco,357194.0
2013,RJ,3304557,673,96,Rio De Janeiro,6429923.0
2013,BA,2927408,523,65,Salvador,2883682.0
2013,MA,2111300,1431,259,São Luís,1053922.0
2013,SP,3550308,831,102,São Paulo,11821873.0
2013,PI,2211001,1004,137,Teresina,836475.0
2013,ES,3205309,927,76,Vitória,348268.0
2014,SE,2800308,826,78,Aracaju,623766.0
2014,PA,1501402,574,67,Belém,1432844.0
2014,MG,3106200,892,70,Belo Horizonte,2491109.0
2014,RR,1400100,1384,197,Boa Vista,314900.0
2014,DF,5300108,1112,101,Brasília,2852372.0
2014,MS,5002704,1775,277,Campo Grande,843120.0
2014,MT,5103403,1671,290,Cuiabá,575480.0
2014,PR,4106902,1222,137,Curitiba,1864416.0
2014,SC,4205407,1054,64,Florianópolis,461524.0
2014,CE,2304400,693,76,Fortaleza,2571896.0
2014,GO,5208707,1194,158,Goiânia,1412364.0
2014,PB,2507507,752,77,João Pessoa,780738.0
2014,AP,1600303,710,67,Macapá,446757.0
2014,AL,2704302,645,76,Maceió,1005319.0
2014,AM,1302603,1330,215,Manaus,2020301.0
2014,RN,2408102,717,72,Natal,862044.0
2014,TO,1721000,1118,137,Palmas,265409.0
2014,RS,4314902,943,82,Porto Alegre,1472482.0
2014,RO,1100205,1765,296,Porto Velho,494013.0
2014,PE,2611606,736,74,Recife,1608488.0
2014,AC,1200401,910,117,Rio Branco,363928.0
2014,RJ,3304557,648,80,Rio De Janeiro,6453682.0
2014,BA,2927408,545,64,Salvador,2902927.0
2014,MA,2111300,1409,231,São Luís,1064197.0
2014,SP,3550308,835,95,São Paulo,11895893.0
2014,PI,2211001,1039,126,Teresina,840600.0
2014,ES,3205309,900,68,Vitória,352104.0
2015,SE,2800308,725,62,Aracaju,632744.0
2015,PA,1501402,553,63,Belém,1439561.0
2015,MG,3106200,750,60,Belo Horizonte,2502557.0
2015,RR,1400100,1288,170,Boa Vista,320714.0
2015,DF,5300108,1039,93,Brasília,2914830.0
2015,MS,5002704,1686,253,Campo Grande,853622.0
2015,MT,5103403,1434,246,Cuiabá,580489.0
2015,PR,4106902,1089,117,Curitiba,1879355.0
2015,SC,4205407,994,55,Florianópolis,469690.0
2015,CE,2304400,624,64,Fortaleza,2591188.0
2015,GO,5208707,1002,131,Goiânia,1430697.0
2015,PB,2507507,718,68,João Pessoa,791438.0
2015,AP,1600303,671,59,Macapá,456171.0
2015,AL,2704302,589,65,Maceió,1013773.0
2015,AM,1302603,1044,148,Manaus,2057711.0
2015,RN,2408102,712,73,Natal,869954.0
2015,TO,1721000,999,111,Palmas,272726.0
2015,RS,4314902,882,74,Porto Alegre,1476867.0
2015,RO,1100205,1472,220,Porto Velho,502748.0
